,text,category,noun,Nletters,frequency,synsets,labels
153,zipper,clothing,1,6,2127,2,1
154,ankle,body_parts,1,5,5622,1,2
155,arm,body_parts,1,3,41726,8,1
156,buttocks,body_parts,1,8,1300,2,1
157,cheek,body_parts,1,5,6152,5,1
158,chin,body_parts,1,4,9359,3,1
159,face,body_parts,1,4,225482,22,1
160,finger,body_parts,1,6,26967,7,1
161,foot,body_parts,1,4,44588,14,1
162,hair,body_parts,1,4,101852,6,0
163,hand,body_parts,1,4,206247,16,1
164,head,body_parts,1,4,266844,42,1
165,knee,body_parts,1,4,10000,3,1
166,leg,body_parts,1,3,40449,9,1
167,lips,body_parts,1,4,20725,5,1
168,owie,body_parts,1,4,161,1,0
169,penis,body_parts,1,5,10143,1,2
170,shoulder,body_parts,1,8,17198,8,2
171,tongue,body_parts,1,6,24001,10,1
172,tooth,body_parts,1,5,9408,5,1
173,tummy,body_parts,1,5,2851,2,1
174,vagina,body_parts,1,6,4905,1,2
175,basket,household,1,6,7897,4,1
176,blanket,household,1,7,8580,6,0
177,bottle,household,1,6,38229,5,0
178,bowl,household,1,4,14401,12,1
179,box,household,1,3,64788,13,1
180,broom,household,1,5,3220,5,1
181,brush,household,1,5,9186,15,1
182,bucket,household,1,6,9143,4,2
183,camera,household,1,6,56757,2,1
184,can,household,1,3,3826118,8,2
185,can,helping_verbs,0,3,3826118,8,2
186,clock,household,1,5,23907,2,1
187,comb,household,1,4,3715,8,1
188,cup,household,1,3,35016,11,0
189,dish,household,1,4,14734,8,2
190,fork,household,1,4,5032,9,1
191,garbage,household,1,7,15709,3,2
192,glass,household,1,5,50103,12,1
193,glasses,household,1,7,22604,13,1
194,hammer,household,1,6,11015,10,2
195,keys,household,1,4,37443,20,1
196,knife,household,1,5,36197,4,1
197,lamp,household,1,4,7692,2,2
198,light,household,1,5,126657,47,0
199,medicine,household,1,8,26958,5,1
200,money,household,1,5,471643,3,1
201,mop,household,1,3,2766,3,2
202,nail,household,1,4,12105,10,2
203,napkin,household,1,6,2215,2,1
204,paper,household,1,5,62166,9,1
205,penny,household,1,5,19236,2,2
206,picture,household,1,7,83461,12,1
207,pillow,household,1,6,7989,2,1
208,plant,household,1,5,23599,10,2
209,plate,household,1,5,21466,16,1
210,purse,household,1,5,12740,6,1
211,radio,household,1,5,62502,5,2
212,scissors,household,1,8,5119,4,1
213,soap,household,1,4,9811,4,1
214,spoon,household,1,5,5540,5,0
215,tape,household,1,4,33904,8,2
216,telephone,household,1,9,23343,3,1
217,tissue,household,1,6,7818,3,1
218,toothbrush,household,1,10,3131,2,1
219,towel,household,1,5,8491,2,1
220,tray,household,1,4,4414,1,2
221,vacuum,household,1,6,4989,5,1
222,walker,household,1,6,10355,6,2
